Title,Year,Rating,Votes,Genres
The Shawshank Redemption,1994,9.3,3093135,Drama
The Godfather,1972,9.2,2156321,"Crime, Drama"
The Dark Knight,2008,9.1,3068618,"Action, Crime, Drama"
The Godfather: Part II,1974,9.0,1449532,"Crime, Drama"
12 Angry Men,1957,9.0,946430,"Crime, Drama"
The Lord of the Rings: The Return of the King,2003,9.0,2104266,"Adventure, Drama, Fantasy"
Schindler's List,1993,9.0,1543403,"Biography, Drama, History"
Pulp Fiction,1994,8.8,2365990,"Crime, Drama"
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2137326,"Adventure, Drama, Fantasy"
"Il Buono, Il Brutto, Il Cattivo",1966,8.8,866726,"Adventure, Drama, Western"
Forrest Gump,1994,8.8,2415383,"Drama, Romance"
The Lord of the Rings: The Two Towers,2002,8.8,1898212,"Adventure, Drama, Fantasy"
Fight Club,1999,8.8,2509710,"Crime, Drama, Thriller"
Inception,2010,8.8,2725667,"Action, Adventure, Sci-Fi"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1463255,"Action, Adventure, Fantasy"
The Matrix,1999,8.7,2183787,"Action, Sci-Fi"
GoodFellas,1990,8.7,1346421,"Biography, Crime, Drama"
Interstellar,2014,8.7,2399323,"Adventure, Drama, Sci-Fi"
One Flew Over the Cuckoo's Nest,1975,8.7,1129911,Drama
Se7en,1995,8.6,1945069,"Crime, Drama, Mystery"
It's a Wonderful Life,1946,8.6,533679,"Drama, Family, Fantasy"
The Silence of the Lambs,1991,8.6,1660022,"Crime, Drama, Horror"
Shichinin No Samurai,1954,8.6,390063,"Action, Drama"
Saving Private Ryan,1998,8.6,1590530,"Drama, War"
The Green Mile,1999,8.6,1508718,"Crime, Drama, Fantasy"
City of God,2002,8.6,847936,"Crime, Drama"
Life Is Beautiful,1997,8.6,788958,"Comedy, Drama, Romance"
Terminator 2: Judgment Day,1991,8.6,1249104,"Action, Adventure, Sci-Fi"
Star Wars: Episode IV - A New Hope,1977,8.6,1529804,"Action, Adventure, Fantasy"
Back to the Future,1985,8.5,1399689,"Adventure, Comedy, Sci-Fi"
Spirited Away,2001,8.6,928565,"Animation, Adventure, Family"
The Pianist,2002,8.5,981915,"Biography, Drama, Music"
Gladiator,2000,8.5,1790409,"Action, Adventure, Drama"
Parasite,2019,8.5,1095990,"Drama, Thriller"
Psycho,1960,8.5,762108,"Drama, Horror, Mystery"
The Lion King,1994,8.5,1220208,"Animation, Adventure, Drama"
Grave of the Fireflies,1988,8.5,360517,"Animation, Drama, War"
The Departed,2006,8.5,1508891,"Crime, Drama, Thriller"
Whiplash,2014,8.5,1096868,"Drama, Music"
Seppuku,1962,8.6,82685,"Drama, Mystery"
The Prestige,2006,8.5,1537869,"Drama, Mystery, Sci-Fi"
American History X,1998,8.5,1243756,"Crime, Drama"
Léon,1994,8.5,1317693,"Action, Crime, Drama"
Spider-man: Across the Spider-verse,2023,8.5,478045,"Animation, Action, Adventure"
Casablanca,1942,8.5,639160,"Drama, Romance, War"
Cinema Paradiso,1988,8.5,306076,"Drama, Romance"
Intouchables,2011,8.5,992498,"Comedy, Drama"
The Usual Suspects,1995,8.5,1204004,"Crime, Drama, Mystery"
Alien,1979,8.5,1031568,"Horror, Sci-Fi"
Modern Times,1936,8.5,276488,"Comedy, Drama, Romance"
Rear Window,1954,8.5,554012,"Drama, Mystery, Thriller"
Django Unchained,2012,8.5,1818929,"Drama, Western"
C'era Una Volta Il West,1968,8.5,373353,"Drama, Western"
City Lights,1931,8.5,209407,"Comedy, Drama, Romance"
Apocalypse Now,1979,8.4,750726,"Drama, Mystery, War"
WALL·E,2008,8.4,1278998,"Animation, Adventure, Family"
Memento,2000,8.4,1396672,"Drama, Mystery, Thriller"
Dune: Part Two,2024,8.5,662535,"Action, Adventure, Drama"
Raiders of the Lost Ark,1981,8.4,1086086,"Action, Adventure"
Avengers: Infinity War,2018,8.4,1315469,"Action, Adventure, Sci-Fi"
The Lives of Others,2006,8.4,432063,"Drama, Mystery, Thriller"
Sunset Blvd.,1950,8.4,252157,"Drama, Film-Noir"
Spider-Man: Into the Spider-Verse,2018,8.4,749751,"Animation, Action, Adventure"
Witness for the Prosecution,1957,8.4,153161,"Crime, Drama, Mystery"
Paths of Glory,1957,8.4,229730,"Drama, War"
The Shining,1980,8.4,1183108,"Drama, Horror"
The Great Dictator,1940,8.4,251442,"Comedy, Drama, War"
Inglourious Basterds,2009,8.4,1713573,"Adventure, Drama, War"
12th Fail,2023,8.7,155363,"Biography, Drama"
Alien 2,1986,8.4,818771,"Action, Adventure, Horror"
The Dark Knight Rises,2012,8.4,1938941,"Action, Crime, Drama"
Coco,2017,8.4,666704,"Animation, Adventure, Drama"
Amadeus,1984,8.4,454126,"Biography, Drama, Music"
Avengers: Endgame,2019,8.4,1385429,"Action, Adventure, Sci-Fi"
Good Will Hunting,1997,8.3,1158174,"Drama, Romance"
Toy Story,1995,8.3,1138594,"Animation, Adventure, Comedy"
Tengoku to Jigoku,1963,8.4,63330,"Crime, Drama, Mystery"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,542638,"Comedy, War"
Oldeuboi,2003,8.3,691891,"Action, Drama, Mystery"
Das Boot,1981,8.4,281873,"Drama, War"
Braveheart,1995,8.3,1139649,"Biography, Drama, War"
Kimi No Na Wa.,2016,8.4,368608,"Animation, Drama, Fantasy"
Mononoke-hime,1997,8.3,467767,"Animation, Adventure, Fantasy"
American Beauty,1999,8.3,1259284,Drama
3 Idiots,2009,8.4,466720,"Comedy, Drama"
Joker,2019,8.3,1637342,"Crime, Drama, Thriller"
Capharnaüm,2018,8.4,118740,Drama
Once Upon a Time in America,1984,8.3,399527,"Crime, Drama"
Singin' in the Rain,1952,8.3,275726,"Comedy, Musical, Romance"
Idi I Smotri,1985,8.3,115698,"Drama, Thriller, War"
Requiem for a Dream,2000,8.3,949940,Drama
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1179873,"Action, Adventure, Fantasy"
Toy Story 3,2010,8.3,943659,"Animation, Adventure, Comedy"
Jagten,2012,8.3,394783,Drama
